2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:107:__init__ > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:179:start > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='0.925' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='0.857' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='0.761' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:17 focus_guard_skip_suspended remaining='0.668' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:18 focus_guard_skip_suspended remaining='0.563' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:18 focus_guard_skip_suspended remaining='0.480' state=('selected', 'word_selection', 67422) fg_hwnd=9177346 fg_class='Qt5152QWindowToolSaveBits' fg_title='Writing Assistant Mini'
2026-05-18 03:11:21 show_near_cursor window_handle=67422 collapsed=False state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.944' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.846' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.753' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.622' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
